Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode
ORD100025,05-02-2023,CUST1243,Ashok Kapoor,Male,44,Lucknow,North,Clothing,Formal Shirt,3,1080,0,3240,2318.93,921.07,Cash on Delivery
ORD100026,06-02-2023,CUST1186,Ritu Kapoor,Female,40,Patna,East,Clothing,Women's Kurti,1,930,0,930,578.32,351.68,Credit Card
ORD100027,06-02-2023,CUST1169,Preeti Pillai,Female,26,Kochi,South,Clothing,Denim Jeans,2,1560,0.15,2652,2405.82,246.18,Debit Card
ORD100028,07-02-2023,CUST1264,Swati Singh,Female,32,Bengaluru,South,Office Supplies,Ballpoint Pen Set,1,152,0,152,109.36,42.64,Credit Card
ORD100029,07-02-2023,CUST1263,Nikhil Joshi,Male,23,Chennai,South,Clothing,Winter Jacket,1,2890,0.05,2745.5,1860.13,885.37,UPI
ORD100030,07-02-2023,CUST1089,Suresh Joshi,Male,40,Patna,East,Clothing,Women's Kurti,1,870,0.1,783,599.59,183.41,Cash on Delivery
ORD100031,07-02-2023,CUST1025,Arjun Pillai,Male,36,Guwahati,East,Electronics,Wireless Mouse,1,570,0.05,541.5,382.31,159.19,UPI
ORD100032,08-02-2023,CUST1333,Gaurav Kapoor,Male,27,Kolkata,East,Home & Kitchen,Cushion Cover Set,2,405,0,810,598.4,211.6,UPI
ORD100033,08-02-2023,CUST1256,Vijay Das,Male,48,Coimbatore,South,Electronics,Earbuds,1,2500,0,2500,1568.15,931.85,Credit Card
ORD100034,08-02-2023,CUST1284,Karan Iyer,Male,58,Pune,West,Home & Kitchen,Cushion Cover Set,3,379,0.1,1023.3,810.59,212.71,Credit Card
ORD100035,09-02-2023,CUST1073,Sandeep Reddy,Male,52,Chennai,South,Home & Kitchen,Water Bottle,2,296,0,592,387.16,204.84,UPI
ORD100036,10-02-2023,CUST1198,Meena Pillai,Female,35,Guwahati,East,Clothing,Formal Shirt,2,1180,0.1,2124,1782.05,341.95,Cash on Delivery
ORD100037,10-02-2023,CUST1193,Sneha Nair,Female,21,Chennai,South,Clothing,Women's Kurti,3,880,0,2640,1965.41,674.59,Debit Card
ORD100038,10-02-2023,CUST1008,Rajesh Singh,Male,29,Kochi,South,Home & Kitchen,Non-stick Pan,1,860,0.1,774,537.22,236.78,Debit Card
ORD100039,12-02-2023,CUST1293,Bhavna Pillai,Female,44,Hyderabad,South,Electronics,Earbuds,1,2440,0,2440,1745.95,694.05,UPI
ORD100040,12-02-2023,CUST1195,Anil Kumar,Male,39,Ahmedabad,West,Office Supplies,Whiteboard,2,1330,0.15,2261,1863.11,397.89,UPI
ORD100041,12-02-2023,CUST1166,Rekha Malhotra,Female,44,Mumbai,West,Beauty & Personal Care,Shampoo,3,350,0.15,892.5,745.64,146.86,UPI
ORD100042,13-02-2023,CUST1159,Shalini Gupta,Female,42,Chennai,South,Sports & Fitness,Dumbbell Set,1,1930,0.05,1833.5,1398.01,435.49,UPI
ORD100043,14-02-2023,CUST1332,Sneha Agarwal,Female,35,Delhi,North,Clothing,Formal Shirt,2,1070,0,2140,1394.73,745.27,Debit Card
ORD100044,14-02-2023,CUST1319,Divya Pillai,Female,33,Delhi,North,Beauty & Personal Care,Shampoo,1,334,0.05,317.3,249.13,68.17,UPI
ORD100045,15-02-2023,CUST1336,Ravi Pillai,Male,25,Chandigarh,North,Office Supplies,Ballpoint Pen Set,3,155,0.2,372,336.19,35.81,UPI
ORD100046,16-02-2023,CUST1130,Preeti Malhotra,Female,18,Patna,East,Beauty & Personal Care,Shampoo,4,341,0.1,1227.6,840.35,387.25,UPI
ORD100047,16-02-2023,CUST1346,Vijay Shah,Male,19,Kolkata,East,Clothing,Sports Shoes,1,2330,0.15,1980.5,1772.56,207.94,Credit Card
ORD100048,16-02-2023,CUST1073,Sandeep Reddy,Male,52,Chennai,South,Electronics,Power Bank,1,1230,0.1,1107,838.36,268.64,UPI
ORD100049,18-02-2023,CUST1331,Deepak Patel,Male,25,Bhubaneswar,East,Electronics,Earbuds,1,2460,0,2460,1618.62,841.38,Net Banking
ORD100050,19-02-2023,CUST1327,Sneha Chatterjee,Female,43,Pune,West,Electronics,Wireless Mouse,5,590,0.05,2802.5,1954.4,848.1,UPI
ORD100051,20-02-2023,CUST1202,Shweta Verma,Female,46,Jaipur,North,Beauty & Personal Care,Perfume,1,1670,0.15,1419.5,1258.19,161.31,UPI
ORD100052,20-02-2023,CUST1135,Shalini Iyer,Female,52,Patna,East,Office Supplies,Desk Organizer,1,720,0.15,612,487.4,124.6,Debit Card
ORD100053,20-02-2023,CUST1318,Bhavna Malhotra,Female,38,Patna,East,Home & Kitchen,Storage Containers Set,2,630,0,1260,904.4,355.6,Credit Card
ORD100054,20-02-2023,CUST1075,Ritu Patel,Female,44,Bhubaneswar,East,Electronics,Bluetooth Speaker,1,2110,0.1,1899,1313.66,585.34,UPI
ORD100055,21-02-2023,CUST1118,Rahul Singh,Male,47,Patna,East,Clothing,Denim Jeans,1,1620,0.15,1377,1194.94,182.06,Debit Card
ORD100056,23-02-2023,CUST1144,Manoj Nair,Male,37,Ahmedabad,West,Clothing,Denim Jeans,2,1570,0.2,2512,2095.88,416.12,UPI
ORD100057,23-02-2023,CUST1292,Arjun Iyer,Male,28,Coimbatore,South,Clothing,Winter Jacket,2,3230,0.05,6137,4745.86,1391.14,UPI
ORD100058,23-02-2023,CUST1102,Shweta Reddy,Female,31,Chennai,South,Beauty & Personal Care,Shampoo,1,352,0.2,281.6,249.61,31.99,Cash on Delivery
ORD100059,24-02-2023,CUST1006,Gaurav Mehta,Male,52,Chennai,South,Home & Kitchen,Non-stick Pan,1,870,0.05,826.5,585.31,241.19,Debit Card
ORD100060,25-02-2023,CUST1213,Rohit Iyer,Male,42,Lucknow,North,Sports & Fitness,Resistance Bands,1,474,0.1,426.6,367.52,59.08,Cash on Delivery
ORD100061,25-02-2023,CUST1260,Pooja Malhotra,Female,24,Ahmedabad,West,Electronics,Power Bank,5,1220,0.15,5185,4335.51,849.49,Debit Card
ORD100062,27-02-2023,CUST1277,Amit Mehta,Male,28,Bengaluru,South,Clothing,Formal Shirt,1,1120,0,1120,853.41,266.59,Credit Card
ORD100063,28-02-2023,CUST1314,Kiran Mehta,Female,49,Jaipur,North,Sports & Fitness,Resistance Bands,4,485,0,1940,1347.16,592.84,UPI
ORD100064,28-02-2023,CUST1128,Sanjay Chatterjee,Male,36,Lucknow,North,Electronics,Wireless Mouse,2,600,0.05,1140,725.19,414.81,UPI
ORD100065,01-03-2023,CUST1249,Sanjay Chatterjee,Male,39,Kochi,South,Clothing,Women's Kurti,1,960,0,960,580.4,379.6,Debit Card
ORD100066,03-03-2023,CUST1216,Preeti Sharma,Female,26,Patna,East,Clothing,Men's T-Shirt,3,501,0.2,1202.4,1028.25,174.15,UPI
ORD100067,03-03-2023,CUST1053,Pooja Nair,Female,41,Chandigarh,North,Electronics,USB-C Charger,1,760,0,760,555.31,204.69,UPI
ORD100068,03-03-2023,CUST1141,Divya Malhotra,Female,49,Coimbatore,South,Beauty & Personal Care,Trimmer,1,1270,0.05,1206.5,985.62,220.88,Debit Card
ORD100069,04-03-2023,CUST1338,Arjun Iyer,Male,39,Chandigarh,North,Home & Kitchen,LED Table Lamp,2,780,0,1560,1182.72,377.28,Debit Card
ORD100070,05-03-2023,CUST1120,Sandeep Nair,Male,43,Delhi,North,Sports & Fitness,Football,4,720,0.15,2448,2021.73,426.27,Debit Card
ORD100071,07-03-2023,CUST1015,Manoj Joshi,Male,28,Chandigarh,North,Clothing,Formal Shirt,1,1050,0.1,945,643.62,301.38,Debit Card
ORD100072,07-03-2023,CUST1040,Aarti Shah,Female,43,Patna,East,Electronics,Power Bank,3,1280,0.15,3264,2828.42,435.58,Credit Card
ORD100073,09-03-2023,CUST1191,Bhavna Rao,Female,44,Hyderabad,South,Beauty & Personal Care,Skincare Kit,2,2020,0.05,3838,2737.01,1100.99,Net Banking
ORD100074,10-03-2023,CUST1236,Vikram Nair,Male,18,Ahmedabad,West,Office Supplies,Notebook Pack,4,212,0.15,720.8,572.82,147.98,Debit Card
ORD100075,10-03-2023,CUST1214,Kiran Rao,Female,31,Delhi,North,Home & Kitchen,Non-stick Pan,1,890,0.15,756.5,687.1,69.4,Debit Card
ORD100076,10-03-2023,CUST1132,Ajay Chatterjee,Male,23,Guwahati,East,Clothing,Sports Shoes,1,2120,0.05,2014,1601.92,412.08,Cash on Delivery
ORD100077,12-03-2023,CUST1091,Priya Patel,Female,45,Coimbatore,South,Electronics,Wireless Mouse,2,630,0,1260,832.72,427.28,Cash on Delivery
ORD100078,13-03-2023,CUST1132,Ajay Chatterjee,Male,23,Guwahati,East,Sports & Fitness,Resistance Bands,3,486,0,1458,1066.61,391.39,Credit Card
ORD100079,14-03-2023,CUST1302,Ajay Bose,Male,43,Coimbatore,South,Electronics,Earbuds,1,2640,0.05,2508,1824.22,683.78,Debit Card
ORD100080,15-03-2023,CUST1213,Rohit Iyer,Male,42,Lucknow,North,Electronics,Smartwatch,4,3620,0,14480,9932.34,4547.66,Credit Card
ORD100081,15-03-2023,CUST1275,Rajesh Iyer,Male,40,Chandigarh,North,Beauty & Personal Care,Trimmer,5,1390,0.05,6602.5,5392.61,1209.89,UPI
ORD100082,16-03-2023,CUST1349,Aarti Kumar,Female,32,Pune,West,Electronics,Webcam,1,1890,0.05,1795.5,1297.75,497.75,Cash on Delivery
ORD100083,17-03-2023,CUST1150,Vikram Kapoor,Male,37,Kolkata,East,Electronics,Laptop Stand,2,1260,0.1,2268,1655.68,612.32,Cash on Delivery
ORD100084,17-03-2023,CUST1078,Suresh Bose,Male,36,Lucknow,North,Electronics,Earbuds,1,2620,0.05,2489,1910.76,578.24,Credit Card
ORD100085,17-03-2023,CUST1337,Swati Kumar,Female,31,Bengaluru,South,Electronics,Power Bank,2,1210,0.05,2299,1742.49,556.51,Net Banking
ORD100086,17-03-2023,CUST1341,Anjali Kumar,Female,37,Bhubaneswar,East,Beauty & Personal Care,Perfume,1,1730,0.15,1470.5,1296.66,173.84,Debit Card
ORD100087,17-03-2023,CUST1245,Priya Malhotra,Female,31,Hyderabad,South,Home & Kitchen,LED Table Lamp,1,750,0.05,712.5,490.69,221.81,Net Banking
ORD100088,18-03-2023,CUST1175,Rohit Das,Male,44,Bengaluru,South,Electronics,Power Bank,4,1270,0,5080,3947.33,1132.67,Credit Card
ORD100089,18-03-2023,CUST1328,Priya Malhotra,Female,41,Ahmedabad,West,Sports & Fitness,Football,1,750,0.15,637.5,554.84,82.66,Credit Card
ORD100090,19-03-2023,CUST1323,Rohit Das,Male,58,Chandigarh,North,Electronics,Power Bank,4,1230,0,4920,3563.07,1356.93,Debit Card
ORD100091,20-03-2023,CUST1347,Shweta Bose,Female,19,Pune,West,Clothing,Denim Jeans,1,1490,0.05,1415.5,959.01,456.49,Debit Card
ORD100092,21-03-2023,CUST1213,Rohit Iyer,Male,42,Lucknow,North,Sports & Fitness,Resistance Bands,5,477,0.1,2146.5,1556.71,589.79,Debit Card
ORD100093,21-03-2023,CUST1270,Kiran Joshi,Female,50,Patna,East,Electronics,Bluetooth Speaker,2,2050,0.1,3690,3096.31,593.69,Net Banking
ORD100094,22-03-2023,CUST1281,Neha Kumar,Female,42,Chennai,South,Office Supplies,Office Chair,2,4980,0,9960,7569.19,2390.81,Net Banking
ORD100095,22-03-2023,CUST1040,Aarti Shah,Female,43,Patna,East,Electronics,Laptop Stand,2,1360,0.15,2312,1671.26,640.74,UPI
ORD100096,22-03-2023,CUST1108,Kunal Kapoor,Male,37,Hyderabad,South,Beauty & Personal Care,Shampoo,3,371,0.1,1001.7,801.02,200.68,Credit Card
ORD100097,22-03-2023,CUST1115,Sanjay Rao,Male,38,Ahmedabad,West,Clothing,Winter Jacket,3,3200,0,9600,6298.66,3301.34,Cash on Delivery
ORD100098,23-03-2023,CUST1222,Anil Agarwal,Male,42,Coimbatore,South,Electronics,Laptop Stand,3,1270,0.1,3429,2295.43,1133.57,Debit Card
ORD100099,23-03-2023,CUST1006,Gaurav Mehta,Male,52,Chennai,South,Sports & Fitness,Dumbbell Set,2,1740,0,3480,2393.58,1086.42,UPI
ORD100100,24-03-2023,CUST1073,Sandeep Reddy,Male,52,Chennai,South,Clothing,Sports Shoes,1,2200,0.05,2090,1376.47,713.53,Credit Card
ORD100101,26-03-2023,CUST1256,Vijay Das,Male,48,Coimbatore,South,Beauty & Personal Care,Trimmer,3,1400,0.2,3360,2888.82,471.18,UPI
ORD100102,27-03-2023,CUST1327,Sneha Chatterjee,Female,43,Pune,West,Home & Kitchen,Cushion Cover Set,2,385,0.05,731.5,579.03,152.47,Credit Card
ORD100103,28-03-2023,CUST1197,Pooja Malhotra,Female,36,Hyderabad,South,Electronics,Power Bank,4,1250,0,5000,3213.79,1786.21,Debit Card
ORD100104,28-03-2023,CUST1266,Vijay Malhotra,Male,52,Hyderabad,South,Clothing,Denim Jeans,2,1570,0.05,2983,2171.33,811.67,UPI
ORD100105,28-03-2023,CUST1230,Pooja Malhotra,Female,26,Delhi,North,Electronics,Earbuds,2,2630,0.05,4997,4014.14,982.86,Cash on Delivery
ORD100106,28-03-2023,CUST1339,Kunal Kumar,Male,28,Ahmedabad,West,Clothing,Winter Jacket,2,3030,0.05,5757,4618.98,1138.02,UPI
ORD100107,29-03-2023,CUST1102,Shweta Reddy,Female,31,Chennai,South,Office Supplies,Ballpoint Pen Set,1,161,0,161,98.89,62.11,Net Banking
ORD100108,29-03-2023,CUST1046,Vijay Verma,Male,29,Coimbatore,South,Electronics,Webcam,1,1930,0.1,1737,1278.13,458.87,UPI
ORD100109,30-03-2023,CUST1054,Sandeep Malhotra,Male,46,Lucknow,North,Clothing,Sports Shoes,2,2230,0,4460,2907.92,1552.08,Debit Card
ORD100110,01-04-2023,CUST1295,Suresh Bose,Male,27,Chandigarh,North,Beauty & Personal Care,Trimmer,1,1300,0.1,1170,921.75,248.25,Net Banking
ORD100111,02-04-2023,CUST1246,Vijay Malhotra,Male,29,Kochi,South,Clothing,Men's T-Shirt,3,505,0.05,1439.25,1011.35,427.9,Credit Card
ORD100112,02-04-2023,CUST1164,Ravi Reddy,Male,45,Ahmedabad,West,Electronics,Power Bank,3,1150,0.05,3277.5,2141.37,1136.13,UPI
ORD100113,02-04-2023,CUST1147,Ashok Singh,Male,20,Chandigarh,North,Clothing,Sports Shoes,1,2100,0.05,1995,1279.44,715.56,Credit Card
ORD100114,03-04-2023,CUST1056,Vijay Malhotra,Male,25,Delhi,North,Beauty & Personal Care,Trimmer,1,1280,0.1,1152,857.06,294.94,Credit Card
ORD100115,03-04-2023,CUST1239,Anita Das,Female,44,Kochi,South,Home & Kitchen,Storage Containers Set,1,600,0.05,570,459.34,110.66,UPI
ORD100116,04-04-2023,CUST1156,Swati Malhotra,Female,55,Lucknow,North,Office Supplies,Ballpoint Pen Set,3,149,0.15,379.95,333.04,46.91,UPI
ORD100117,05-04-2023,CUST1089,Suresh Joshi,Male,40,Patna,East,Electronics,Wireless Mouse,2,580,0.15,986,705.4,280.6,Net Banking
ORD100118,05-04-2023,CUST1169,Preeti Pillai,Female,26,Kochi,South,Office Supplies,Office Chair,2,5160,0.1,9288,6390.73,2897.27,Net Banking
ORD100119,07-04-2023,CUST1126,Shalini Iyer,Female,24,Coimbatore,South,Office Supplies,Notebook Pack,2,210,0.05,399,256.03,142.97,Credit Card
ORD100120,08-04-2023,CUST1222,Anil Agarwal,Male,42,Coimbatore,South,Office Supplies,Desk Organizer,1,700,0.05,665,506.87,158.13,UPI
ORD100121,08-04-2023,CUST1173,Sandeep Patel,Male,38,Chandigarh,North,Home & Kitchen,Water Bottle,4,287,0.05,1090.6,750.7,339.9,UPI
ORD100122,08-04-2023,CUST1088,Anita Joshi,Female,29,Chandigarh,North,Home & Kitchen,Water Bottle,2,302,0.1,543.6,379.2,164.4,UPI
ORD100123,10-04-2023,CUST1281,Neha Kumar,Female,42,Chennai,South,Electronics,Bluetooth Speaker,3,1920,0,5760,4387.1,1372.9,Credit Card
ORD100124,11-04-2023,CUST1158,Kiran Agarwal,Female,21,Chennai,South,Beauty & Personal Care,Shampoo,1,343,0.1,308.7,232.13,76.57,Net Banking
ORD100125,11-04-2023,CUST1344,Vikram Malhotra,Male,29,Bhubaneswar,East,Electronics,Bluetooth Speaker,1,2150,0.05,2042.5,1504.68,537.82,Credit Card
ORD100126,13-04-2023,CUST1075,Ritu Patel,Female,44,Bhubaneswar,East,Home & Kitchen,Cushion Cover Set,3,418,0,1254,969.73,284.27,Net Banking
ORD100127,15-04-2023,CUST1036,Ritu Nair,Female,37,Pune,West,Electronics,Bluetooth Speaker,2,2140,0.1,3852,3157.21,694.79,UPI
ORD100128,16-04-2023,CUST1220,Nikhil Bose,Male,60,Lucknow,North,Clothing,Winter Jacket,2,2960,0.15,5032,3776.48,1255.52,UPI
ORD100129,16-04-2023,CUST1328,Priya Malhotra,Female,41,Ahmedabad,West,Home & Kitchen,Storage Containers Set,2,590,0.1,1062,784.07,277.93,UPI
ORD100130,19-04-2023,CUST1069,Meena Reddy,Female,27,Coimbatore,South,Beauty & Personal Care,Skincare Kit,3,1940,0.1,5238,3688.97,1549.03,Credit Card
ORD100131,19-04-2023,CUST1204,Ajay Agarwal,Male,19,Guwahati,East,Electronics,Earbuds,2,2560,0.05,4864,3750.71,1113.29,UPI
ORD100132,20-04-2023,CUST1127,Preeti Gupta,Female,28,Lucknow,North,Beauty & Personal Care,Perfume,2,1550,0,3100,2247.22,852.78,Credit Card
ORD100133,20-04-2023,CUST1309,Kunal Iyer,Male,32,Mumbai,West,Home & Kitchen,Cushion Cover Set,2,386,0.1,694.8,560.56,134.24,Credit Card
ORD100134,20-04-2023,CUST1030,Anjali Singh,Female,28,Hyderabad,South,Electronics,Smartwatch,1,3490,0,3490,2359.94,1130.06,UPI
ORD100135,20-04-2023,CUST1320,Nisha Singh,Female,36,Hyderabad,South,Home & Kitchen,Cushion Cover Set,1,419,0.2,335.2,285.62,49.58,Credit Card
ORD100136,21-04-2023,CUST1107,Rohit Agarwal,Male,36,Kolkata,East,Electronics,Bluetooth Speaker,4,2020,0.05,7676,5572.02,2103.98,Debit Card
ORD100137,21-04-2023,CUST1344,Vikram Malhotra,Male,29,Bhubaneswar,East,Clothing,Winter Jacket,1,3040,0.15,2584,2022.3,561.7,Credit Card
ORD100138,21-04-2023,CUST1110,Divya Agarwal,Female,18,Coimbatore,South,Clothing,Women's Kurti,2,860,0.05,1634,1152.02,481.98,UPI
ORD100139,22-04-2023,CUST1228,Rekha Chatterjee,Female,27,Kolkata,East,Clothing,Denim Jeans,1,1420,0.05,1349,865.96,483.04,UPI
ORD100140,22-04-2023,CUST1090,Sanjay Patel,Male,36,Jaipur,North,Clothing,Formal Shirt,1,1140,0,1140,809.92,330.08,Credit Card
ORD100141,25-04-2023,CUST1143,Sneha Rao,Female,37,Mumbai,West,Electronics,Laptop Stand,3,1370,0.05,3904.5,2727.23,1177.27,Credit Card
ORD100142,26-04-2023,CUST1068,Kunal Gupta,Male,38,Patna,East,Beauty & Personal Care,Trimmer,1,1390,0,1390,969.58,420.42,Debit Card
ORD100143,26-04-2023,CUST1234,Preeti Chatterjee,Female,58,Coimbatore,South,Home & Kitchen,LED Table Lamp,1,770,0.1,693,581.58,111.42,UPI
ORD100144,28-04-2023,CUST1339,Kunal Kumar,Male,28,Ahmedabad,West,Office Supplies,Whiteboard,2,1250,0.05,2375,1605.18,769.82,Net Banking
ORD100145,29-04-2023,CUST1326,Arjun Chatterjee,Male,47,Bengaluru,South,Clothing,Men's T-Shirt,1,520,0.05,494,388.91,105.09,UPI
ORD100146,29-04-2023,CUST1338,Arjun Iyer,Male,39,Chandigarh,North,Electronics,Wireless Mouse,1,610,0.05,579.5,434.76,144.74,Credit Card
ORD100147,29-04-2023,CUST1176,Kavita Das,Female,35,Mumbai,West,Electronics,Laptop Stand,1,1250,0,1250,791.5,458.5,Net Banking
ORD100148,01-05-2023,CUST1064,Anita Verma,Female,43,Guwahati,East,Office Supplies,Desk Organizer,3,680,0.05,1938,1473.78,464.22,UPI
ORD100149,01-05-2023,CUST1002,Anita Sharma,Female,42,Ahmedabad,West,Office Supplies,Notebook Pack,2,207,0,414,268.6,145.4,UPI
ORD100150,02-05-2023,CUST1207,Nisha Rao,Female,40,Hyderabad,South,Clothing,Men's T-Shirt,1,475,0.2,380,304.55,75.45,Debit Card
ORD100151,03-05-2023,CUST1349,Aarti Kumar,Female,32,Pune,West,Electronics,Smartwatch,2,3660,0,7320,5653.98,1666.02,UPI
ORD100152,04-05-2023,CUST1178,Neha Rao,Female,32,Delhi,North,Beauty & Personal Care,Trimmer,1,1240,0,1240,857.96,382.04,UPI
ORD100153,04-05-2023,CUST1201,Vijay Nair,Male,41,Mumbai,West,Beauty & Personal Care,Shampoo,1,349,0,349,269.7,79.3,UPI
ORD100154,05-05-2023,CUST1326,Arjun Chatterjee,Male,47,Bengaluru,South,Electronics,Earbuds,3,2400,0.05,6840,5411.01,1428.99,UPI
ORD100155,05-05-2023,CUST1270,Kiran Joshi,Female,50,Patna,East,Clothing,Denim Jeans,1,1520,0.1,1368,977.7,390.3,Debit Card
ORD100156,07-05-2023,CUST1332,Sneha Agarwal,Female,35,Delhi,North,Sports & Fitness,Dumbbell Set,1,1720,0,1720,1334.9,385.1,UPI
ORD100157,07-05-2023,CUST1111,Kiran Malhotra,Female,34,Chandigarh,North,Electronics,Bluetooth Speaker,1,2070,0.1,1863,1484.26,378.74,Credit Card
ORD100158,09-05-2023,CUST1273,Nikhil Malhotra,Male,35,Bengaluru,South,Electronics,Bluetooth Speaker,1,1960,0.1,1764,1396.06,367.94,Debit Card
ORD100159,10-05-2023,CUST1158,Kiran Agarwal,Female,21,Chennai,South,Electronics,Laptop Stand,1,1280,0,1280,823.64,456.36,UPI
ORD100160,11-05-2023,CUST1158,Kiran Agarwal,Female,21,Chennai,South,Home & Kitchen,Water Bottle,1,286,0.2,228.8,217.43,11.37,Net Banking
ORD100161,14-05-2023,CUST1257,Kavita Reddy,Female,27,Lucknow,North,Office Supplies,Notebook Pack,1,192,0.1,172.8,139.55,33.25,UPI
ORD100162,14-05-2023,CUST1193,Sneha Nair,Female,21,Chennai,South,Electronics,Laptop Stand,3,1390,0.2,3336,2910.69,425.31,UPI
ORD100163,14-05-2023,CUST1038,Sneha Bose,Female,20,Lucknow,North,Home & Kitchen,Non-stick Pan,3,930,0,2790,1905.79,884.21,UPI
ORD100164,15-05-2023,CUST1228,Rekha Chatterjee,Female,27,Kolkata,East,Clothing,Women's Kurti,2,890,0.05,1691,1119.34,571.66,Credit Card
ORD100165,17-05-2023,CUST1151,Divya Gupta,Female,38,Bengaluru,South,Clothing,Women's Kurti,1,860,0.05,817,638.4,178.6,Credit Card
ORD100166,17-05-2023,CUST1052,Suresh Verma,Male,27,Kolkata,East,Clothing,Denim Jeans,2,1460,0.05,2774,1828.93,945.07,Credit Card
ORD100167,18-05-2023,CUST1242,Vijay Shah,Male,40,Kolkata,East,Beauty & Personal Care,Shampoo,1,343,0.1,308.7,238.87,69.83,UPI
ORD100168,18-05-2023,CUST1013,Sneha Nair,Female,18,Delhi,North,Clothing,Sports Shoes,1,2220,0.2,1776,1379.41,396.59,Net Banking
ORD100169,19-05-2023,CUST1237,Pooja Singh,Female,37,Bhubaneswar,East,Sports & Fitness,Cricket Bat,2,1500,0.1,2700,1999.21,700.79,UPI
ORD100170,20-05-2023,CUST1202,Shweta Verma,Female,46,Jaipur,North,Home & Kitchen,Storage Containers Set,1,590,0.15,501.5,413.6,87.9,Debit Card
